"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/1991","1,749.91","1,755.63","1,757.44","1,726.81","","1.32%"
"08/16/1991","1,727.07","1,724.06","1,740.04","1,720.31","","1.26%"
"08/14/1991","1,705.63","1,699.72","1,706.66","1,690.47","","1.09%"
"08/13/1991","1,687.24","1,688.63","1,705.78","1,685.03","","1.39%"
"08/12/1991","1,664.06","1,659.46","1,666.75","1,659.46","","0.03%"
"08/09/1991","1,663.57","1,658.16","1,666.55","1,649.73","","1.88%"
"08/08/1991","1,632.90","1,623.30","1,632.90","1,598.85","","-1.48%"
"08/07/1991","1,657.44","1,685.46","1,691.82","1,652.17","","-1.38%"
"08/05/1991","1,680.69","1,664.58","1,693.18","1,655.13","","0.00%"
"08/02/1991","1,680.62","1,703.15","1,703.15","1,680.62","","1.92%"
"08/01/1991","1,649.01","1,647.29","1,677.68","1,646.54","","1.00%"
"07/31/1991","1,632.67","1,614.00","1,637.39","1,606.79","","-0.87%"
"07/30/1991","1,647.00","1,637.36","1,650.28","1,637.36","","0.57%"
"07/29/1991","1,637.70","1,646.53","1,679.95","1,636.74","","2.36%"
"07/26/1991","1,599.98","1,604.23","1,630.27","1,596.46","","2.86%"
"07/25/1991","1,555.43","1,513.88","1,561.08","1,513.88","","4.69%"
"07/24/1991","1,485.76","1,481.95","1,488.47","1,465.94","","4.68%"
"07/22/1991","1,419.31","1,439.75","1,441.33","1,417.04","","-2.49%"
"07/19/1991","1,455.48","1,424.94","1,455.76","1,424.62","","0.90%"
"07/17/1991","1,442.54","1,442.54","1,442.54","1,442.54","","0.75%"
"07/16/1991","1,431.75","1,398.95","1,432.82","1,398.85","","1.73%"
"07/15/1991","1,407.35","1,421.77","1,421.77","1,406.32","","-2.39%"
"07/12/1991","1,441.85","1,447.64","1,456.50","1,436.70","","1.49%"
"07/11/1991","1,420.75","1,403.96","1,438.26","1,403.96","","2.30%"
"07/10/1991","1,388.80","1,394.97","1,404.69","1,388.80","","1.44%"
"07/09/1991","1,369.06","1,368.31","1,381.41","1,360.22","","0.37%"
"07/08/1991","1,363.99","1,351.17","1,385.27","1,351.17","","0.49%"
"07/05/1991","1,357.32","1,322.89","1,359.32","1,322.89","","4.52%"
"07/04/1991","1,298.66","1,305.44","1,306.01","1,292.20","","-1.08%"
"07/03/1991","1,312.87","1,310.20","1,327.04","1,310.20","","1.48%"
"07/02/1991","1,293.67","1,279.88","1,293.43","1,276.82","","1.45%"
"07/01/1991","1,275.23","1,253.08","1,275.23","1,251.98","","0.42%"
"06/28/1991","1,269.91","1,288.25","1,292.59","1,267.50","","-1.55%"
"06/27/1991","1,289.94","1,255.14","1,290.43","1,245.15","","1.37%"
"06/26/1991","1,272.54","1,298.61","1,301.06","1,271.23","","-2.25%"
"06/25/1991","1,301.85","1,288.91","1,303.72","1,288.91","","-0.27%"
"06/24/1991","1,305.33","1,340.20","1,340.20","1,303.38","","-4.14%"
"06/21/1991","1,361.72","1,371.85","1,372.25","1,353.32","","1.87%"
"06/20/1991","1,336.75","1,331.33","1,341.58","1,331.33","","0.85%"
"06/19/1991","1,325.46","1,327.70","1,331.24","1,324.42","","-0.73%"
"06/18/1991","1,335.21","1,322.13","1,335.21","1,318.20","","2.14%"
"06/17/1991","1,307.22","1,317.09","1,323.39","1,307.05","","1.11%"
"06/14/1991","1,292.81","1,271.43","1,293.44","1,267.90","","1.38%"
"06/13/1991","1,275.15","1,293.42","1,296.22","1,273.68","","-1.02%"
"06/12/1991","1,288.25","1,274.39","1,291.51","1,274.39","","2.11%"
"06/11/1991","1,261.64","1,260.17","1,263.71","1,252.70","","1.07%"
"06/07/1991","1,248.31","1,271.27","1,271.27","1,246.13","","-1.94%"
"06/06/1991","1,272.97","1,291.34","1,291.76","1,270.03","","-0.92%"
"06/05/1991","1,284.81","1,295.54","1,295.54","1,283.30","","-0.41%"
"06/04/1991","1,290.07","1,289.36","1,295.00","1,289.36","","0.16%"
"06/03/1991","1,287.95","1,302.82","1,302.82","1,287.34","","-1.48%"
"05/31/1991","1,307.34","1,308.64","1,327.86","1,307.34","","-2.11%"
"05/30/1991","1,335.48","1,337.33","1,338.46","1,325.02","","0.61%"
"05/29/1991","1,327.33","1,327.33","1,327.33","1,327.33","","0.72%"
"05/27/1991","1,317.90","1,315.03","1,324.76","1,313.31","","0.23%"
"05/23/1991","1,314.89","1,295.40","1,321.88","1,294.24","","-0.43%"
"05/21/1991","1,320.54","1,293.04","1,320.54","1,293.04","","2.83%"
"05/20/1991","1,284.25","1,289.99","1,289.99","1,282.12","","-1.04%"
"05/17/1991","1,297.69","1,308.79","1,310.11","1,297.61","","0.48%"
"05/16/1991","1,291.50","1,297.75","1,304.13","1,291.13","","-0.10%"
"05/14/1991","1,292.83","1,283.04","1,292.93","1,280.18","","0.29%"
"05/13/1991","1,289.13","1,296.52","1,302.36","1,289.13","","0.06%"
"05/10/1991","1,288.35","1,278.10","1,288.35","1,277.92","","2.23%"
"05/09/1991","1,260.29","1,254.69","1,269.62","1,253.69","","-0.48%"
"05/08/1991","1,266.34","1,272.82","1,272.82","1,265.77","","0.90%"
"05/07/1991","1,255.04","1,239.96","1,257.25","1,239.96","","-0.03%"
"05/06/1991","1,255.42","1,264.76","1,267.65","1,253.21","","-1.31%"
"05/03/1991","1,272.09","1,269.39","1,278.12","1,264.39","","2.99%"
"04/30/1991","1,235.11","1,263.85","1,263.85","1,235.11","","-2.55%"
"04/29/1991","1,267.46","1,275.09","1,275.09","1,258.88","","-1.49%"
"04/26/1991","1,286.59","1,304.10","1,304.11","1,286.46","","-0.77%"
"04/25/1991","1,296.54","1,291.95","1,300.55","1,291.95","","1.72%"
"04/24/1991","1,274.56","1,270.21","1,282.81","1,264.76","","-0.19%"
"04/23/1991","1,276.94","1,273.35","1,289.08","1,273.35","","-0.80%"
"04/22/1991","1,287.27","1,273.89","1,288.33","1,273.78","","0.26%"
"04/19/1991","1,283.94","1,278.41","1,291.64","1,278.41","","0.97%"
"04/18/1991","1,271.62","1,260.53","1,276.85","1,256.14","","-0.26%"
"04/16/1991","1,274.97","1,299.26","1,299.26","1,262.98","","-2.11%"
"04/15/1991","1,302.50","1,306.70","1,316.38","1,298.91","","1.12%"
"04/12/1991","1,288.02","1,279.60","1,300.45","1,279.60","","2.28%"
"04/11/1991","1,259.28","1,239.39","1,259.28","1,236.84","","1.51%"
"04/09/1991","1,240.53","1,250.59","1,256.80","1,238.84","","0.15%"
"04/08/1991","1,238.70","1,222.47","1,241.02","1,218.07","","1.69%"
"04/05/1991","1,218.12","1,212.85","1,219.83","1,207.18","","1.75%"
"04/04/1991","1,197.12","1,194.91","1,200.64","1,194.91","","-0.48%"
"04/03/1991","1,202.90","1,217.01","1,217.76","1,202.54","","-0.52%"
"04/02/1991","1,209.23","1,204.02","1,211.12","1,198.10","","1.31%"
"04/01/1991","1,193.61","1,179.18","1,198.64","1,179.18","","2.20%"
"03/27/1991","1,167.97","1,175.55","1,189.87","1,167.61","","-0.22%"
"03/26/1991","1,170.59","1,151.54","1,171.20","1,151.33","","1.31%"
"03/25/1991","1,155.46","1,158.51","1,160.66","1,152.53","","-1.38%"
"03/22/1991","1,171.59","1,198.30","1,201.80","1,171.31","","0.55%"
"03/21/1991","1,165.20","1,144.87","1,165.44","1,144.87","","-0.57%"
"03/20/1991","1,171.92","1,180.92","1,182.72","1,169.02","","0.07%"
"03/18/1991","1,171.08","1,181.58","1,187.85","1,170.63","","-2.96%"
"03/15/1991","1,206.75","1,214.08","1,229.79","1,204.69","","0.86%"
"03/14/1991","1,196.48","1,150.54","1,196.48","1,150.54","","3.14%"
"03/13/1991","1,160.08","1,170.21","1,188.91","1,160.08","","-0.50%"
